"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"ApMsgFwd","1","135","4407832576","688128","1736704","10464","C:\Program Files\DellTPad\ApMsgFwd.exe","""C:\Program Files\DellTPad\ApMsgFwd.exe"" -s{05FA8492-C047-4207-BE65-780D8591C113}","System.Diagnostics.Process (Apoint)","ALPSALPINE Co., Ltd.","337.84375","8, 1, 0, 54","8, 1, 0, 54","ApMsgFwd","ApMsgFwd","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5044","8",,"False","8/12/2023 9:13:53 AM",,"7152",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","10464","10464","1736704","1736704","151976","151976","1794048","1794048","7475200","7475200","4409933824","114966528","True","Normal","1736704","1736704","15","1",,"System.Diagnostics.ProcessThreadCollection","135","4407832576","112865280","False",,,,"688128","688128",,"System.Diagnostics.ProcessModule (ApMsgFwd.exe)","00:04:12.3750000","00:05:37.8437500","00:01:25.4687500","ApMsgFwd","0","","True",,
"ApntEx","1","108","4390879232","921600","1175552","8016","C:\Program Files\DellTPad\Apntex.exe","""Apntex.exe""",,"ALPSALPINE Co., Ltd.","0.53125","8, 1, 0, 37","8, 1, 0, 37","AlpsAlpine Pointing-device Driver for Windows","AlpsAlpine Pointing-device Driver for Windows","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5060","8",,"False","8/12/2023 9:13:53 AM",,"7184",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","8016","8016","1175552","1175552","118248","118248","1228800","1228800","5935104","5935104","4392980480","98013184","True","Normal","1175552","1175552","15","1",,"System.Diagnostics.ProcessThreadCollection","108","4390879232","95911936","False",,,,"921600","921600",,"System.Diagnostics.ProcessModule (Apntex.exe)","00:00:00.4375000","00:00:00.5312500","00:00:00.0937500","ApntEx","0","","True",,
"Apoint","1","281","4432957440","2105344","3461120","16568","C:\Program Files\DellTPad\Apoint.exe","""C:\Program Files\DellTPad\Apoint.exe""","System.Diagnostics.Process (HidMonitorSvc)","ALPSALPINE Co., Ltd.","37.890625","10, 1, 101, 233","10, 1, 101, 233","AlpsAlpine Pointing-device Driver","AlpsAlpine Pointing-device Driver","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4760","8",,"False","8/12/2023 9:13:51 AM",,"5868",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16568","16568","3461120","3461120","209824","209824","3858432","3858432","18378752","18378752","4444512256","149544960","True","Normal","3461120","3461120","15","1",,"System.Diagnostics.ProcessThreadCollection","281","4432957440","137990144","False",,,,"2105344","2105344",,"System.Diagnostics.ProcessModule (Apoint.exe)","00:00:29.9062500","00:00:37.8906250","00:00:07.9843750","Apoint","0","","True",,
"AppleMobileDeviceService","0","226","4446236672","1380352","3616768","19656","C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe","""C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe""","System.Diagnostics.Process (services)","Apple Inc.","19.671875","531.100.1.10","","MobileDeviceService","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4496","8",,"False","8/12/2023 9:13:35 AM",,"4296",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19656","19656","3616768","3616768","218016","218016","3645440","3645440","13942784","13942784","4451479552","156512256","True","Normal","3616768","3616768","15","0",,"System.Diagnostics.ProcessThreadCollection","226","4446236672","151269376","False",,,,"1380352","1380352",,"System.Diagnostics.ProcessModule (AppleMobileDeviceService.exe)","00:00:16.6406250","00:00:19.6718750","00:00:03.0312500","AppleMobileDeviceService","0","","True",,
"ApplicationFrameHost","1","562","2203597004800","3297280","24305664","32632","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding","System.Diagnostics.Process (svchost)","Microsoft Corporation","8.046875","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4512","8",,"False","8/12/2023 9:15:31 AM",,"10420",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","32632","32632","24305664","24305664","448712","448712","28852224","28852224","45408256","45408256","2203604721664","286498816","True","Normal","24305664","24305664","15","1",,"System.Diagnostics.ProcessThreadCollection","562","2203597004800","278781952","False",,,,"3297280","3297280",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:05.7656250","00:00:08.0468750","00:00:02.2812500","ApplicationFrameHost","5768650","Settings","True",,
"armsvc","0","126","69414912","229376","1617920","8280","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""","System.Diagnostics.Process (services)","Adobe Inc.","0","1.824.460.1047","1.824.460.1047","Acrobat Update Service","Acrobat Update Service","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4064","8",,"False","8/12/2023 2:00:09 PM",,"5460",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","8280","8280","1617920","1617920","74344","74344","1818624","1818624","7229440","7229440","73297920","73297920","True","Normal","1617920","1617920","15","0",,"System.Diagnostics.ProcessThreadCollection","126","69414912","69414912","False",,,,"229376","229376",,"System.Diagnostics.ProcessModule (armsvc.exe)","00:00:00","00:00:00","00:00:00","armsvc","0","","True",,
"audiodg","0","634","2203464708096","17838080","28352512","18752","C:\WINDOWS\system32\AUDIODG.EXE","C:\WINDOWS\system32\AUDIODG.EXE 0x564","System.Diagnostics.Process (svchost)","Microsoft Corporation","2337.484375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows Audio Device Graph Isolation ","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3064","8",,"False","8/15/2023 12:03:41 PM",,"6872",".","16269312","15060992","System.Diagnostics.ProcessModuleCollection","18752","18752","28352512","28352512","163976","163976","33603584","33603584","39596032","39596032","2203470761984","152539136","True","Normal","28352512","28352512","15","0",,"System.Diagnostics.ProcessThreadCollection","634","2203464708096","146485248","False",,,,"17838080","17838080",,"System.Diagnostics.ProcessModule (AUDIODG.EXE)","00:01:16.2187500","00:38:57.4843750","00:37:41.2656250","audiodg","0","","True",,
"cmd","1","76","2203379392512","151552","2711552","5432","C:\WINDOWS\SYSTEM32\cmd.exe","cmd.exe /C C:\Users\gmeye\AppData\Roaming\.anaconda\navigator\scripts\notebook.bat",,"Microsoft Corporation","0.125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows Command Processor","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4192","8",,"False","8/13/2023 8:00:19 AM",,"15596",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","5432","5432","2711552","2711552","44184","44184","6070272","6070272","5861376","5861376","2203381493760","63270912","True","Normal","2711552","2711552","15","1",,"System.Diagnostics.ProcessThreadCollection","76","2203379392512","61169664","False",,,,"151552","151552",,"System.Diagnostics.ProcessModule (cmd.exe)","00:00:00.1093750","00:00:00.1250000","00:00:00.0156250","cmd","0","","True",,
"Code","1","445","2238464258048","202194944","175046656","26408","C:\Users\gmeye\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\gmeye\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=gpu-process --user-data-dir=""C:\Users\gmeye\AppData\Roaming\Code"" --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAAOAAAAEAAAAAAAAAABAAAADgAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=1632 --field-trial-handle=1724,i,14084937745733236335,8327083329193108521,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:2","System.Diagnostics.Process (Code)","Microsoft Corporation","12.40625","1.81.1","1.81.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4896","10",,"False","8/15/2023 5:58:13 PM",,"1520",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26408","26408","175046656","175046656","769200","769200","229191680","229191680","254259200","254259200","2238485573632","807612416","True","AboveNormal","175046656","175046656","15","1",,"System.Diagnostics.ProcessThreadCollection","445","2238464258048","786296832","False",,,,"202194944","202194944",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:02.9375000","00:00:12.4062500","00:00:09.4687500","Code","0","","True",,
"Code","1","233","3407957921792","85876736","33865728","16616","C:\Users\gmeye\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\gmeye\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\gmeye\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=4316 --field-trial-handle=1724,i,14084937745733236335,8327083329193108521,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","0.640625","1.81.1","1.81.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4532","8",,"False","8/15/2023 5:58:17 PM",,"5736",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16616","16616","33865728","33865728","512504","512504","34377728","34377728","86704128","86704128","3410614308864","410275840","True","Normal","33865728","33865728","15","1",,"System.Diagnostics.ProcessThreadCollection","233","3407957921792","2048856064","False",,,,"85876736","85876736",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.1093750","00:00:00.6406250","00:00:00.5312500","Code","0","","True",,
